"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="138177815152163802","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","要小的","等待买家付款","CLC1180102500004"
="136434292111828880","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","麻烦包装好一点。","买家已付款，等待卖家发货","CLC1180102500004"
="125272953196552435","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","买家已付款，等待卖家发货","CLC1180102500004"
="136218553266800399","秦岭云 山东临沂农家自种新鲜紫薯 现挖沙地迷你紫薯种薯 5斤包邮","49.90","1","CLC1170102250004","null","null","null","买家已付款，等待卖家发货","CLC1170102250004"
="137996291829081502","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","买家已付款，等待卖家发货","CLC1180102500004"
="125188086043869146","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="125114584703749653","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","买家已付款，等待卖家发货","CLC1180102500004"
="137627865629730006","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="124984552587884448","秦岭云 山东临沂农家自种新鲜紫薯 现挖沙地迷你紫薯种薯 5斤包邮","49.90","1","CLC1170102250004","null","null","null","卖家已发货，等待买家确认","CLC1170102250004"
="137497777346320503","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="137497777346320503","秦岭云 越南进口芒果 新鲜水果玉芒香芒当季水果特产现摘8斤包邮","78.80","1","CLC1180104000017","null","null","null","卖家已发货，等待买家确认","CLC1180104000017"
="124942498765106239","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="137569682376490002","秦岭云 越南进口芒果 新鲜水果玉芒香芒当季水果特产现摘8斤包邮","78.80","1","CLC1180104000017","null","null","null","卖家已发货，等待买家确认","CLC1180104000017"
="135701870738547664","秦岭云 新鲜普罗旺斯西红柿5斤孕妇生吃小西红柿番茄非圣女果包邮","59.80","1","CLC1180101225023","null","null","null","交易关闭","CLC1180101225023"
="135616554056831889","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易关闭","CLC1180102500004"
="137553723777470828","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="124685932385892938","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="135468043487109690","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="135410307652621262","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="135359877431587598","秦岭云 越南香玉芒果 新鲜芒果当季水果农家特产现摘现发5斤包邮","59.90","1","CLC1180102500017","null","null","null","卖家已发货，等待买家确认","CLC1180102500017"
="135359877431587598","秦岭云 越南百香果新鲜热带水果特级黄金百香果现摘西番莲5斤包邮","78.80","1","CLC1180102500018","null","null","null","卖家已发货，等待买家确认","CLC1180102500018"
