商户订单号,发生时间,收入金额（+元）,支出金额（-元）,帐务类型,备注
180411-467197196800947,2018/4/15 21:03,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180412-327344028170731,2018/4/15 17:55,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180410-448607936642831,2018/4/15 16:51,0,-0.58,优惠券结算,退款补用户优惠券
180410-448607936642831,2018/4/15 16:51,0.58,0,优惠券结算,交易成功优惠券支付金额结算
180331-303894131200027,2018/4/15 15:19,3,0,优惠券结算,交易成功优惠券支付金额结算
180330-357469847693090,2018/4/15 15:19,10,0,优惠券结算,交易成功优惠券支付金额结算
180331-293895253761353,2018/4/15 15:19,3,0,优惠券结算,交易成功优惠券支付金额结算
180410-256706332162533,2018/4/15 14:49,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180405-225298906243331,2018/4/15 11:47,10,0,优惠券结算,交易成功优惠券支付金额结算
180411-440086419202998,2018/4/14 23:29,3,0,优惠券结算,交易成功优惠券支付金额结算
180409-501975939842883,2018/4/14 19:55,0.7,0,优惠券结算,交易成功优惠券支付金额结算
180402-391325345923730,2018/4/14 15:55,3,0,优惠券结算,交易成功优惠券支付金额结算
180329-410449098253934,2018/4/14 15:42,10,0,优惠券结算,交易成功优惠券支付金额结算
180329-453052817922873,2018/4/14 15:42,3,0,优惠券结算,交易成功优惠券支付金额结算
180329-407642391040766,2018/4/14 15:42,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180329-389366259840630,2018/4/14 15:42,1.02,0,优惠券结算,交易成功优惠券支付金额结算
180329-456823452163677,2018/4/14 15:42,3,0,优惠券结算,交易成功优惠券支付金额结算
180330-291054476800608,2018/4/14 15:42,10,0,优惠券结算,交易成功优惠券支付金额结算
180329-411805263362621,2018/4/14 15:42,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-393930652160104,2018/4/14 14:31,0,-5,优惠券结算,退款补用户优惠券
180407-393930652160104,2018/4/14 14:31,5,0,优惠券结算,交易成功优惠券支付金额结算
180411-465152136322141,2018/4/14 14:21,4.32,0,优惠券结算,交易成功优惠券支付金额结算
