"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="167070044371602983","现摘黄心油桃当季新鲜水果孕妇黄肉桃子非水蜜桃血桃毛桃整箱包邮","49.90","1","5斤装黄心油桃","null","null","null","买家已付款，等待卖家发货","5斤装黄心油桃"
="167451451218240332","现摘黄心油桃当季新鲜水果孕妇黄肉桃子非水蜜桃血桃毛桃整箱包邮","49.90","1","5斤装黄心油桃","null","null","null","买家已付款，等待卖家发货","5斤装黄心油桃"
="166943484137881498","现摘黄心油桃当季新鲜水果孕妇黄肉桃子非水蜜桃血桃毛桃整箱包邮","49.90","1","5斤装黄心油桃","null","null","null","卖家已发货，等待买家确认","5斤装黄心油桃"
="166506462111594776","现摘黄心油桃当季新鲜水果孕妇黄肉桃子非水蜜桃血桃毛桃整箱包邮","49.90","1","5斤装黄心油桃","null","null","null","卖家已发货，等待买家确认","5斤装黄心油桃"
="164724689362393306","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","卖家已发货，等待买家确认","CLC1180101250025"
="164218776080419086","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","卖家已发货，等待买家确认","CLC1180101250025"
="162316473198423027","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","卖家已发货，等待买家确认","CLC1180101250025"
="162535155786425414","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="162151384644626621","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="147250684042515847","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","卖家已发货，等待买家确认","CLC1180101250025"
="163914668818480454","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","卖家已发货，等待买家确认","CLC1180101250025"
="162078979761035212","陕西阎良黄金蜜瓜甜瓜香瓜当季水果新鲜现摘现发黄金瓜5斤包邮","69.80","1","null","null","null","null","交易成功","null"
="162078979761035212","陕西阎良甜瓜香瓜新鲜水果现摘现发黄心脆瓜蜜瓜5斤包邮非哈密瓜","44.90","1","null","null","null","null","交易成功","null"
="163558620919594776","陕西阎良黄金蜜瓜甜瓜香瓜当季水果新鲜现摘现发黄金瓜5斤包邮","69.80","1","null","null","null","null","卖家已发货，等待买家确认","null"
="163495789782016059","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="161648028894352420","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="163163990344889473","陕西阎良甜瓜香瓜新鲜水果现摘现发黄心脆瓜蜜瓜5斤包邮非哈密瓜","44.90","1","null","null","null","null","交易成功","null"
="161401712149035212","陕西阎良甜瓜香瓜新鲜水果现摘现发黄心脆瓜蜜瓜5斤包邮非哈密瓜","44.90","1","null","null","null","null","交易成功","null"
="161342997868035212","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易关闭","CLC1180101250025"
="161214001541251322","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="161340618439160430","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="162231730583975286","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="162240072385509688","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
